Lot,Asset ID,SerialNumber,Brand,Model,Model#,Processor,RAM,RAM_P_N,RAM_Type,Hard_Drive,Hard_Drive_P_N,HD_Type,Optical,ComplianceLabel,Weight,Unit_Condition,Condition,PRICE,Raid_Controller,Module,PowerSupply,Issues & Comments
39098,2593426,J100ZWP2,Lenovo,ThinkSystem SR650,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593427,J100ZWP4,Lenovo,ThinkSystem SR650,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593425,J100Z5RE,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593422,J100ZNNP,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,96GB:_16GB_x_6,SM37A21493_x_6,PC4 2933Y,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,B,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593405,J100W4F2,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593411,J100ZMH9,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593408,J100Z5RT,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,B,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593414,J100VKXM,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,Broken_RAM_Clamp_x_1
39098,2593423,J100Z5PT,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593406,J100ZLL0,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593409,J100ZMH8,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,96GB:_16GB_x_6,SM37A21493_x_6,PC4 2933Y,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,C,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593407,J100ZLHT,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593404,J100VKXA,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,Removed_Bad_Power_Supply_x_2
39098,2593412,J100ZLLL,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593410,J100ZNN3,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593424,J100Z5T5,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,
39098,2593413,J100ZMH1,Lenovo,ThinkSystem SR630,7X02CTO1WW,2 x Intel Xeon Silver 4109T 2.00GHZ 8 Core,No_RAM,, ,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,SAS9460-8i,,2 x 750W (FSF055) ,Broken_PCI_Latch
39008,2588547,375910013210EBE0170,Buffalo,Terrastation,TS5400R1604,1 x Intel Atom D2701 2.13GHZ 2 Core,,, ,4TB_x_2,0VF3T3_x_2,SATA,,"Tested for Key Functions, R2/Ready for Resale",18,Tested Working,A,,Internal_Raid,,Internal,
39194,2609455,KQ861TP,IBM,System X3550 M3,7944AC1,1 x Intel Xeon L5640 2.26GHZ 6 Core,24GB:_8GB_x_3,47J0136_x_3,PC3L 10600R,No_HD,,,,"Tested for Key Functions, R2/Ready for Resale",34.83,Tested Working,A,,Internal_Raid,,2 x 675W (39Y7224) ,
39098,2593419,6ADWKN,IBM,System x3530 M4,7160AC1,2 x Intel Xeon E5-2430 2.20GHZ 6 Core,No_RAM,, ,No_HD,,,DVDROM,"Tested for Key Functions, R2/Ready for Resale",34.25,Tested Working,A,,IBM_SERVERRAID_M5110,,2 x 460W (69Y5938) ,
